NURSING 339,Nursing Proc & Practice In The Care Of The Geriatric Client,18Hr 0Min /Wk TBA Fr 6:30AM - 3:30PMSa 6:30AM - 3:30PMTu 6:30AM - 3:30PMWe 6:30AM - 3:30PM,05/06/2019 - 06/03/201905/06/2019 - 06/03/201905/06/2019 - 06/03/201905/06/2019 - 06/03/201905/06/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 343,Nursing Process&Practice In Psy-Social Adaptation Of Client,Mo 10:05AM - 12:15PMFr 9:00AM - 11:40AM,02/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 343,Nursing Process&Practice In Psy-Social Adaptation Of Client,Tu 6:30AM - 7:50PMTu 6:30AM - 7:50PMFr 11:40AM - 12:10PM,02/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 343,Nursing Process&Practice In Psy-Social Adaptation Of Client,Mo 10:05AM - 12:15PMFr 9:00AM - 11:40AM,03/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 343,Nursing Process&Practice In Psy-Social Adaptation Of Client,Tu 6:30AM - 7:50PMTu 6:30PM - 7:50PMFr 11:40AM - 12:10PM,03/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 345,Nursing Process/Practice In The Care Of Adult Client III,Mo 10:10AM - 12:10PMTu 9:00AM - 11:40AM,02/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 345,Nursing Process/Practice In The Care Of Adult Client III,Th 6:30AM - 7:30PMTh 6:30AM - 7:30PM6Hr 50Min /Wk TBA Tu 11:40AM - 12:10PM,02/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/201902/04/2019 - 03/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 345,Nursing Process/Practice In The Care Of Adult Client III,Mo 10:10AM - 12:10PMTu 9:00AM - 11:40AM,03/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 345,Nursing Process/Practice In The Care Of Adult Client III,Tu 11:40AM - 12:10PM,03/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 345,Nursing Process/Practice In The Care Of Adult Client III,Th 6:30AM - 7:50PMTh 6:30AM - 7:50PM1Hr 15Min /Wk TBA Tu 11:40AM - 12:10PM,03/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/201903/15/2019 - 05/02/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 347,Leadership And Management,We 11:15AM - 12:10PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 364,Pharmacology,Th 9:00AM - 12:10PM,02/04/2019 - 06/03/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399A,Nurse Assistant Training Program,Fr 8:00AM - 1:10PM,01/18/2019 - 04/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399A,Nurse Assistant Training Program,SaSu 7:00AM - 7:00AMSaSu 7:00AM - 11:35AM,01/18/2019 - 04/14/201901/18/2019 - 04/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399A,Nurse Assistant Training Program,SaSu 7:00AM - 11:35AM,01/18/2019 - 04/14/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399A,Nurse Assistant Training Program,MoWe 8:00AM - 4:00PM,02/04/2019 - 05/06/2019,Los Angeles Mission College,NURSING,"13356 Eldridge Avenue, Sylmar, CA 91342"
NURSING 399A,Nurse Assistant Training Program,MoWe 6:00PM - 8:05PM,02/04/2019 - 05/06/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 399A,Nurse Assistant Training Program,SaSu 7:00AM - 11:35AM,02/04/2019 - 05/06/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 399A,Nurse Assistant Training Program,TuTh 6:30PM - 8:35PM,02/04/2019 - 05/05/2019,West Los Angeles College,NURSING,"9000 Overland Avenue, Culver City, CA 90230"
NURSING 399B,Home Health Aide Training Program,Fr 8:00AM - 4:30PM,04/26/2019 - 05/18/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399B,Home Health Aide Training Program,SaSu 7:00AM - 3:30PM,04/26/2019 - 05/18/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399B,Home Health Aide Training Program,SaSu 7:30AM - 3:30PM,04/26/2019 - 05/18/2019,Los Angeles Harbor College,NURSING,"1111 Figueroa Place, Wilmington, CA 90744"
NURSING 399B,Home Health Aide Training Program,MoWe 8:00AM - 4:00PM,05/15/2019 - 06/03/2019,Los Angeles Mission College,NURSING,"13356 Eldridge Avenue, Sylmar, CA 91342"
NURSING 399B,Home Health Aide Training Program,MoWe 6:00PM - 8:50PM,05/13/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 399B,Home Health Aide Training Program,SaSu 7:00AM - 12:50PM,05/13/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 399B,Home Health Aide Training Program,TuTh 6:45PM - 8:50PM,05/06/2019 - 06/02/2019,West Los Angeles College,NURSING,"9000 Overland Avenue, Culver City, CA 90230"
NURSING 400,Adult Health Care I,Mo 8:00AM - 10:05AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 402,Pharmacology,We 10:15AM - 11:20AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 403,Adult Health Care II,We 8:30AM - 10:35AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 404,Maternal And Newborn Health Care,Tu 8:30AM - 10:35AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 405,Psychiatric Health Care,We 12:30PM - 2:35PM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 406,Adult Health Care III,Tu 12:35PM - 2:40PM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 407,Geriatric Health Care,We 9:00AM - 10:05AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 408,Psychological Aspects Of Health Care,Mo 10:30AM - 11:35AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 414,Adult Health Care IV,Tu 10:30AM - 12:35PM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 415,Pediatric Health Care,Tu 2:00PM - 4:05PM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 441,"History, Trends And Issues Of Nursing",Mo 8:00AM - 9:05AM,02/04/2019 - 06/03/2019,Pierce College,NURSING,"6201 Winnetka Avenue, Woodland Hills, CA 91371"
NURSING 501A,Fundamentals Of Nursing A,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,ThFr 7:00AM - 4:20PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,WeFr 7:00AM - 4:20PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,WeTh 3:00PM - 11:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,02/04/2019 - 03/27/201902/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501A,Fundamentals Of Nursing A,WeTh 7:00AM - 4:20PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,ThFr 7:00AM - 3:30PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,WeFr 7:00AM - 3:10PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,WeTh 3:00PM - 10:50PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,Mo 1:00PM - 3:10PMTu 1:00PM - 3:10PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 501B,Fundamentals Of Nursing B,WeTh 7:00AM - 3:10PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502A,Medical-Surgical Nursing A,Mo 8:00AM - 12:15PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502A,Medical-Surgical Nursing A,TuWe 7:00AM - 3:10PM,04/08/2019 - 05/31/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502A,Medical-Surgical Nursing A,Mo 8:00AM - 12:15PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502A,Medical-Surgical Nursing A,TuWe 7:00AM - 3:10PM,04/08/2019 - 05/31/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502A,Medical-Surgical Nursing A,Mo 8:00AM - 12:50PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502A,Medical-Surgical Nursing A,FrSa 7:00AM - 3:10PM,04/08/2019 - 05/31/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502B,Medical-Surgical Nursing B,Mo 9:00AM - 2:00PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502B,Medical-Surgical Nursing B,WeTh 7:00AM - 4:00PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502B,Medical-Surgical Nursing B,Mo 9:00AM - 2:00PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502B,Medical-Surgical Nursing B,ThFr 7:00AM - 4:00PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502B,Medical-Surgical Nursing B,Mo 9:00AM - 2:00PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 502B,Medical-Surgical Nursing B,FrSa 7:00AM - 4:00PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503A,Advanced Medical-Surgical Nursing,Mo 3:00PM - 7:30PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503A,Advanced Medical-Surgical Nursing,Th 7:00AM - 11:35PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503A,Advanced Medical-Surgical Nursing,Mo 3:00PM - 7:30PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503A,Advanced Medical-Surgical Nursing,Th 7:00AM - 11:35PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503A,Advanced Medical-Surgical Nursing,Mo 3:00PM - 7:30PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503A,Advanced Medical-Surgical Nursing,Th 7:00AM - 11:35PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503B,Psychiatric Nursing,Mo 11:00AM - 3:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503B,Psychiatric Nursing,TuWe 7:00AM - 4:10PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503B,Psychiatric Nursing,Mo 11:00AM - 3:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503B,Psychiatric Nursing,ThFr 7:00AM - 4:10PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503B,Psychiatric Nursing,Mo 11:00AM - 3:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 503B,Psychiatric Nursing,TuWe 7:00AM - 4:10PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506A,Maternal And Child Health Nursing A (Pediatrics),Mo 8:00AM - 12:15PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506A,Maternal And Child Health Nursing A (Pediatrics),TuSa 7:00AM - 3:10PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506A,Maternal And Child Health Nursing A (Pediatrics),Mo 8:00AM - 12:15PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506A,Maternal And Child Health Nursing A (Pediatrics),TuWe 7:00AM - 3:10PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506A,Maternal And Child Health Nursing A (Pediatrics),Mo 8:00AM - 12:15PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506A,Maternal And Child Health Nursing A (Pediatrics),We 7:00AM - 11:35PM,04/08/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506B,Maternal And Child Health Nursing (Obstetrics),Mo 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506B,Maternal And Child Health Nursing (Obstetrics),We 7:00AM - 11:35PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506B,Maternal And Child Health Nursing (Obstetrics),Mo 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506B,Maternal And Child Health Nursing (Obstetrics),WeTh 7:00AM - 3:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506B,Maternal And Child Health Nursing (Obstetrics),Mo 8:00AM - 12:50PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 506B,Maternal And Child Health Nursing (Obstetrics),TuWe 3:00PM - 11:10PM,02/04/2019 - 03/27/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 507,Senior Seminar,Mo 12:00PM - 2:20PM,04/08/2019 - 05/31/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 517,Mathematics Of Drugs And Solutions,Tu 2:00PM - 5:10PM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 523,Pharmacology,Tu 2:00PM - 5:10PM,02/04/2019 - 06/03/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 526,Communication In Nursing,Mo 10:00AM - 12:20PM,04/08/2019 - 05/31/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
NURSING 527,Nursing Process,Mo 7:00AM - 9:20AM,02/04/2019 - 03/29/2019,Los Angeles Southwest College,NURSING,"1600 West Imperial Highway, Los Angeles, CA 90047"
REGNRSG 103,Nursing Pharmacology,Mo 8:00AM - 9:10AM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 104,Nursing Foundations,Mo 9:35AM - 12:10PMTh 9:35AM - 12:10PM,02/04/2019 - 03/31/201902/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 104,Nursing Foundations,TuWe 6:30AM - 2:15PMTuWe 6:30AM - 2:15PM,02/04/2019 - 02/17/201902/18/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 104,Nursing Foundations,TuWe 6:30AM - 1:00PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 104,Nursing Foundations,TuWe 6:30AM - 2:15PMTuWe 6:30AM - 2:15PM,02/04/2019 - 02/17/201902/18/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 104,Nursing Foundations,TuWe 6:30AM - 2:15PMTuWe 6:30AM - 2:15PM,02/04/2019 - 02/17/201902/18/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 105,Beginning Medical- Surgical,Th 9:35AM - 12:00PMMo 9:35AM - 12:10PM,04/08/2019 - 06/03/201904/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 105,Beginning Medical- Surgical,TuWe 6:30AM - 4:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 105,Beginning Medical- Surgical,TuWe 6:30AM - 4:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 105,Beginning Medical- Surgical,TuWe 6:30AM - 4:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 105,Beginning Medical- Surgical,TuWe 6:30AM - 4:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 106,Nursing Care Of The Childbearing Family,We 10:30AM - 1:00PM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 106,Nursing Care Of The Childbearing Family,Th 6:30AM - 7:30PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 106,Nursing Care Of The Childbearing Family,Fr 6:30AM - 7:30PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 106,Nursing Care Of The Childbearing Family,Fr 6:30AM - 7:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 106,Nursing Care Of The Childbearing Family,Th 6:30AM - 7:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 107,Nursing Care Of The Pediatric Client,We 8:00AM - 10:30AM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 107,Nursing Care Of The Pediatric Client,Mo 6:00AM - 7:00PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 107,Nursing Care Of The Pediatric Client,Mo 6:00AM - 7:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 107,Nursing Care Of The Pediatric Client,Fr 6:00AM - 7:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 107,Nursing Care Of The Pediatric Client,Fr 6:00AM - 7:00PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 108,Nursing Care For The Client With Psychosocial Needs,Th 10:10AM - 12:30PM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 108,Nursing Care For The Client With Psychosocial Needs,MoFr 6:00AM - 7:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 108,Nursing Care For The Client With Psychosocial Needs,MoFrSaSu 6:00AM - 7:00PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 108,Nursing Care For The Client With Psychosocial Needs,SaSu 6:00AM - 7:00PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 108,Nursing Care For The Client With Psychosocial Needs,MoFrSaSu 6:00AM - 7:00PM,02/04/2019 - 03/31/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 109,Intermediate Medical-Surgical Nursing,Th 7:00AM - 9:50AM,02/04/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 109,Intermediate Medical-Surgical Nursing,MoTuWe 6:00AM - 11:35AM,02/04/2019 - 03/30/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 109,Intermediate Medical-Surgical Nursing,MoTuWe 6:00AM - 3:30PM,02/04/2019 - 03/30/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 109,Intermediate Medical-Surgical Nursing,MoTuWe 6:00AM - 3:30PMMoTuWe 6:00AM - 3:30PM,04/08/2019 - 05/05/201905/06/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 109,Intermediate Medical-Surgical Nursing,TuWe 6:00AM - 3:30PM,04/08/2019 - 06/03/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 110,Advance Medical-Surgical Nursing,Mo 8:30AM - 3:00PM,02/04/2019 - 03/27/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 110,Advance Medical-Surgical Nursing,TuWe 6:00AM - 3:30PM,02/04/2019 - 03/27/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 110,Advance Medical-Surgical Nursing,TuWe 6:00AM - 3:30PM,02/04/2019 - 03/27/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 110,Advance Medical-Surgical Nursing,TuWe 6:00AM - 3:30PM,02/04/2019 - 03/27/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
REGNRSG 110,Advance Medical-Surgical Nursing,TuWe 6:00AM - 3:30PM,02/04/2019 - 03/27/2019,Los Angeles City College,REGNRSG,"855 N. Vermont Avenue, Los Angeles, CA 90029"
